longitud,latitud,distrito,poblacion
-84.422421,09.974984,Jes\366s,4250
-84.402378,09.988569,Mercedes,3127
-84.419916,09.99191,San Isidro,2813
-84.366745,09.953887,Concepción,4112
-84.404931,10.010910,San José,2250
-84.374286,10.010876,Santa Eulalia,2082
-84.435451,9.935302,Escobal,848
-84.383846,10.099856,Naranjo,16039
-84.396457,10.073457,San Miguel,4657
-84.405212,10.150484,San José,3162
-84.367065,10.118656,Cirrí Sur,5337
-84.358349,10.124188,San Jerónimo,3264
-84.396282,10.113605,San Juan,3011
-84.377399,10.044154,El Rosario,3757
-84.426184,10.097000,Palmitos,4271
-84.432659,10.051501,Palmares,3599
-84.428073,10.041259,Zaragoza,9565
-84.435207,10.068326,Buenos Aires,8663
-84.444004,10.024921,Santiago,3257
-84.422939,10.030351,Candelaria,1961
-84.422542,10.056698,Esquipulas,8081
-84.447291,10.053089,La Granja,4119
-84.244601,10.076294,San Pedro,8098
-84.243808,10.099355,San Juan,4638
-84.258191,10.089521,San Rafael,5451
-84.269779,10.032497,Carrillos,9230
-84.215496,10.113528,Sabana Redonda,2343
-84.522254,09.912131,Orotina,9581
-84.541547,09.916538,El Mataste,2143
-84.494335,09.919979,Hacienda Vieja,1070
-84.556163,09.900911,Coyolar,7258
-84.598827,09.900122,La Ceiba,2452
-84.431148,10.323053,Quesada,42214
-84.475139,10.360942,Florencia,14991
-84.460369,10.276133,Buenavista,325
-84.340694,10.376034,Aguas Zarcas,20241
-84.274041,10.354732,Venecia,9638
-84.273128,10.453241,Pital,17325
-84.644824,10.471522,La Fortuna,15384
-84.581295,10.409752,La Tigra,6374
-84.382587,10.420739,La Palmera,6321
-84.744686,10.556144,Venado,1754
-84.478581,10.530978,Cutris,10334
-84.649532,10.552043,Monterrey,3455
-84.527294,10.623728,Pocosol,15395
-84.391864,10.184541,Zarcero,4004
-84.400844,10.209672,Laguna,1671
-84.402199,10.218010,Tapesco,1528
-84.410203,10.182766,Guadalupe,1148
-84.377906,10.209937,Palmira,1647
-84.418819,10.225578,Zapote,739
-84.402263,10.218403,Brisas,2441
-84.321239,10.125638,Sarchí Norte,7140
-84.339721,10.081369,Sarchí Sur,6311
-84.297847,10.215248,Toro Amarillo,273
-84.328708,10.111489,San Pedro,3286
-84.349376,10.107147,Rodríguez,2721
-85.017551,10.903426,Upala,16138
-85.175586,10.813065,Aguas Claras,4939
