Periodo,Aceleracion
0.01,0.35000000000000003
0.02,0.35000000000000003
0.03,0.35000000000000003
0.0303,0.35000000000000003
0.04,0.41895000000000004
0.05,0.4837
0.06,0.54425
0.07,0.6013000000000001
0.08,0.6555500000000001
0.09,0.7077
0.1,0.7574000000000001
0.11,0.8057000000000001
0.12,0.85225
0.125,0.875
0.15,0.875
0.2,0.875
0.25,0.875
0.3,0.875
0.367,0.875
0.401,0.875
0.428,0.875
0.45,0.875
0.472,0.875
0.5,0.875
0.509,0.875
0.571,0.875
0.6,0.83335
0.8,0.6251
1.0,0.50015
1.1,0.45465
1.2,0.4165
1.3,0.38465
1.4,0.35700000000000004
1.5,0.33320000000000005
2.0,0.24989999999999998
2.5,0.19985
2.554,0.19565
2.963,0.1687
3.0,0.16660000000000003
3.252,0.15365
3.604,0.1386
3.721,0.13440000000000002
3.743,0.13265000000000002
4.0,0.1162
5.0,0.07455
6.0,0.0518
7.0,0.0378
8.0,0.02905
9.0,0.0231
10.0,0.01855
