Periodo,Aceleracion
0.01,0.55
0.02,0.55
0.03,0.55
0.0303,0.55
0.04,0.65835
0.05,0.7601
0.06,0.8552500000000001
0.07,0.9449000000000001
0.08,1.03015
0.09,1.1121
0.1,1.1902
0.11,1.2661
0.12,1.3392499999999998
0.125,1.375
0.15,1.375
0.2,1.375
0.25,1.375
0.3,1.375
0.374,1.375
0.408,1.375
0.436,1.375
0.45,1.375
0.48,1.375
0.5,1.375
0.518,1.375
0.582,1.375
0.6,1.3332
0.8,0.9999
1.0,0.80025
1.1,0.7271
1.2,0.6666
1.3,0.61545
1.4,0.57145
1.5,0.5335
2.0,0.39985
2.5,0.32009999999999994
2.6,0.30745
3.0,0.26675
3.017,0.2651
3.312,0.24145
3.67,0.2178
3.788,0.2112
3.811,0.20845
4.0,0.18919999999999998
5.0,0.121
6.0,0.08415
7.0,0.061599999999999995
8.0,0.047299999999999995
9.0,0.037399999999999996
10.0,0.03025
