Periodo,Aceleracion
0.01,0.44999999999999996
0.02,0.44999999999999996
0.03,0.44999999999999996
0.0303,0.44999999999999996
0.04,0.5386500000000001
0.05,0.6219
0.06,0.69975
0.07,0.7731
0.08,0.84285
0.09,0.9099
0.1,0.9738
0.11,1.0359
0.12,1.09575
0.125,1.125
0.15,1.125
0.2,1.125
0.25,1.125
0.3,1.125
0.45,1.125
0.5,1.125
0.6,1.125
0.686,1.125
0.749,1.125
0.799,1.125
0.8,1.125
0.881,1.125
0.949,1.125
1.0,1.125
1.067,1.125
1.1,1.0908
1.2,0.9999
1.3,0.92295
1.4,0.85725
1.5,0.8001
2.0,0.59985
2.5,0.48015
3.0,0.40005
4.0,0.30015000000000003
4.767,0.25155
5.0,0.23985
5.53,0.2169
6.0,0.1998
6.071,0.19755
6.728,0.1782
6.945,0.1728
6.987,0.17055
7.0,0.1701
8.0,0.13005
9.0,0.10305
10.0,0.08325
