Periodo,Aceleracion
0.01,0.44999999999999996
0.02,0.44999999999999996
0.03,0.44999999999999996
0.0303,0.44999999999999996
0.04,0.5386500000000001
0.05,0.6219
0.06,0.69975
0.07,0.7731
0.08,0.84285
0.09,0.9099
0.1,0.9738
0.11,1.0359
0.12,1.09575
0.125,1.125
0.15,1.125
0.2,1.125
0.25,1.125
0.3,1.125
0.45,1.125
0.5,1.125
0.6,1.125
0.6,1.125
0.655,1.125
0.699,1.125
0.771,1.125
0.8,1.125
0.831,1.125
0.933,1.125
1.0,1.04985
1.1,0.95445
1.2,0.8748
1.3,0.80775
1.4,0.75015
1.5,0.7001999999999999
2.0,0.52515
2.5,0.41985
3.0,0.35009999999999997
4.0,0.26235
4.171,0.25155
4.839,0.2169
5.0,0.21015
5.312,0.19755
5.887,0.1782
6.0,0.17504999999999998
6.077,0.1728
6.113,0.17055
7.0,0.13005
8.0,0.0999
9.0,0.07875
10.0,0.0639
