Periodo,Aceleracion
0.01,0.5
0.02,0.5
0.03,0.5
0.0303,0.5
0.04,0.5985
0.05,0.691
0.06,0.7775
0.07,0.859
0.08,0.9365
0.09,1.011
0.1,1.082
0.11,1.151
0.12,1.2175
0.125,1.25
0.15,1.25
0.2,1.25
0.25,1.25
0.3,1.25
0.36,1.25
0.393,1.25
0.419,1.25
0.45,1.25
0.462,1.25
0.498,1.25
0.5,1.25
0.56,1.25
0.6,1.1665
0.8,0.875
1.0,0.7000000000000001
1.1,0.6365
1.2,0.5835
1.3,0.5385
1.4,0.5
1.5,0.46649999999999997
2.0,0.35000000000000003
2.5,0.28
2.503,0.27949999999999997
2.903,0.241
3.0,0.23349999999999999
3.187,0.2195
3.532,0.198
3.646,0.19199999999999998
3.668,0.1895
4.0,0.15949999999999998
5.0,0.10200000000000001
6.0,0.07100000000000001
7.0,0.052
8.0,0.04
9.0,0.0315
10.0,0.025500000000000002
