Periodo,Aceleracion
0.01,0.44999999999999996
0.02,0.44999999999999996
0.03,0.44999999999999996
0.0303,0.44999999999999996
0.04,0.5386500000000001
0.05,0.6219
0.06,0.69975
0.07,0.7731
0.08,0.84285
0.09,0.9099
0.1,0.9738
0.11,1.0359
0.12,1.09575
0.125,1.125
0.15,1.125
0.2,1.125
0.25,1.125
0.3,1.125
0.386,1.125
0.421,1.125
0.449,1.125
0.45,1.125
0.495,1.125
0.5,1.125
0.534,1.125
0.6,1.125
0.6,1.125
0.8,0.84375
1.0,0.675
1.1,0.6138
1.2,0.5625
1.3,0.5193
1.4,0.48195
1.5,0.44999999999999996
2.0,0.3375
2.5,0.27
2.682,0.25155
3.0,0.22499999999999998
3.111,0.2169
3.415,0.19755
3.785,0.1782
3.907,0.1728
3.93,0.17055
4.0,0.16469999999999999
5.0,0.10529999999999999
6.0,0.07335
7.0,0.054000000000000006
8.0,0.04139999999999999
9.0,0.0324
10.0,0.026549999999999997
