Periodo,Aceleracion
0.01,0.3
0.02,0.3
0.03,0.3
0.0303,0.3
0.04,0.3591
0.05,0.41459999999999997
0.06,0.46649999999999997
0.07,0.5154000000000001
0.08,0.5619
0.09,0.6066
0.1,0.6492
0.11,0.6906
0.12,0.7305
0.125,0.75
0.15,0.75
0.2,0.75
0.25,0.75
0.3,0.75
0.343,0.75
0.374,0.75
0.4,0.75
0.44,0.75
0.45,0.75
0.475,0.75
0.5,0.75
0.533,0.75
0.6,0.6666
0.8,0.5001
1.0,0.3999
1.1,0.36360000000000003
1.2,0.3333
1.3,0.30779999999999996
1.4,0.28559999999999997
1.5,0.2667
2.0,0.2001
2.384,0.16770000000000002
2.5,0.15990000000000001
2.765,0.1446
3.0,0.1332
3.036,0.13169999999999998
3.364,0.1188
3.473,0.11520000000000001
3.493,0.1137
4.0,0.0867
5.0,0.0555
6.0,0.0387
7.0,0.0282
8.0,0.0216
9.0,0.0171
10.0,0.0138
