Periodo,Aceleracion
0.01,0.5
0.02,0.5
0.03,0.5
0.0303,0.5
0.04,0.5985
0.05,0.691
0.06,0.7775
0.07,0.859
0.08,0.9365
0.09,1.011
0.1,1.082
0.11,1.151
0.12,1.2175
0.125,1.25
0.15,1.25
0.2,1.25
0.25,1.25
0.257,1.25
0.281,1.25
0.3,1.25
0.3,1.25
0.33,1.25
0.356,1.25
0.4,1.25
0.45,1.111
0.5,1.0
0.6,0.8334999999999999
0.8,0.625
1.0,0.5
1.1,0.45449999999999996
1.2,0.4165
1.3,0.38449999999999995
1.4,0.35700000000000004
1.5,0.33349999999999996
1.788,0.27949999999999997
2.0,0.25
2.074,0.241
2.277,0.2195
2.5,0.2
2.523,0.198
2.604,0.19199999999999998
2.62,0.1895
3.0,0.1445
4.0,0.08149999999999999
5.0,0.052
6.0,0.036
7.0,0.0265
8.0,0.0205
9.0,0.016
10.0,0.013
