Periodo,Aceleracion
0.01,0.25
0.02,0.25
0.03,0.25
0.0303,0.25
0.04,0.29925
0.05,0.3455
0.06,0.38875
0.07,0.4295
0.08,0.46825
0.09,0.5055
0.1,0.541
0.11,0.5755
0.12,0.60875
0.125,0.625
0.15,0.625
0.2,0.625
0.25,0.625
0.257,0.625
0.281,0.625
0.3,0.625
0.3,0.625
0.33,0.625
0.356,0.625
0.4,0.625
0.45,0.5555
0.5,0.5
0.6,0.41674999999999995
0.8,0.3125
1.0,0.25
1.1,0.22724999999999998
1.2,0.20825
1.3,0.19224999999999998
1.4,0.17850000000000002
1.5,0.16674999999999998
1.788,0.13974999999999999
2.0,0.125
2.074,0.1205
2.277,0.10975
2.5,0.1
2.523,0.099
2.604,0.09599999999999999
2.62,0.09475
3.0,0.07225
4.0,0.040749999999999995
5.0,0.026
6.0,0.018
7.0,0.01325
8.0,0.01025
9.0,0.008
10.0,0.0065
