hostid,hostname,lat,lon,ip
10754,PJMH_HNZ,8.53813,-83.3069,163.178.101.124
10755,PJMN_HNZ,8.5304,-83.3050,163.178.101.124
10756,PLPM_HNZ,8.64749,-83.4611,163.178.101.124
10757,PLRL_HNZ,8.432,-82.957,163.178.101.124
10758,PMAT_HNZ,9.330808,-83.957948,163.178.101.124
10759,POSA_HNZ,8.9795,-83.5321,163.178.101.124
10760,POSH_HNZ,8.98791,-83.546,163.178.101.124
10761,PPAH_HNZ,9.5277,-84.3651,163.178.101.124
10762,PPLN_HNZ,8.963398,-83.456633,163.178.101.124
10763,PPQR_HNZ,9.82024,-84.9363,163.178.101.124
10764,PPTG_HNZ,9.01748,-83.1735,163.178.101.124
10765,PPUH_HNZ,9.976554,-84.837343,163.178.101.124
10766,PPUN_HNZ,9.981,-84.810,163.178.101.124
10767,PQSH_HNZ,9.44264,-84.1368,163.178.101.124
10768,PQUE_HNZ,9.43107,-84.1638,163.178.101.124
10769,PRCH_HNZ,8.67325,-83.0605,163.178.101.124
10770,PUVT_HNZ,9.175130,-83.733007,163.178.101.124
10771,SASR_HNZ,9.86336,-84.0933,163.178.101.124
10772,SBEB_HNZ,9.903676,-84.159316,163.178.101.124
10773,SCB0_HNZ,09.9274,-84.0792,163.178.101.124
10774,SCB6_HNZ,09.9274,-84.0792,163.178.101.124
10775,SCNE_HNZ,9.96009,-84.1382,163.178.101.124
10776,SCOH_HNZ,9.92351,-84.2428,163.178.101.124
10777,SESC_HNZ,9.9029,-84.1403,163.178.101.124
10778,SFCL_HNZ,10.0205,-83.9660,163.178.101.124
10779,SFRA_HNZ,9.75088,-84.0561,163.178.101.124
10780,SGH1_HNZ,9.93627,-84.0707,163.178.101.124
10781,SGH5_HNZ,9.93627,-84.0707,163.178.101.124
10782,SGTS_HNZ,9.86888,-84.0359,163.178.101.124
10783,SHTH_HNZ,9.91474,-84.0967,163.178.101.124
10784,SIAC_HNZ,9.799,-84.161,163.178.101.124
10785,SICP_HNZ,9.983395,-84.013117,163.178.101.124
10786,SION_HNZ,9.93402,-84.07071,163.178.101.124
10787,SISD_HNZ,9.372,-83.703,163.178.101.124
10788,SISH_HNZ,9.36766,-83.7039,163.178.101.124
10789,SJUD_HNZ,9.950,-84.203,163.178.101.124
10790,SLCJ_HNZ,09.9883,-83.9554,163.178.101.124
10791,SLMA_HNZ,9.93313,-84.0903,163.178.101.124
10839,SMOR_HNZ,9.96607,-84.036,163.178.101.124
10792,SMSO_HNZ,9.93349,-84.0768,163.178.101.124
10793,SNH1_HNZ,9.934537,-84.087117,163.178.101.124
10794,SNH5_HNZ,9.934537,-84.087117,163.178.101.124
10795,SPCH_HNZ,9.8613,-84.2907,163.178.101.124
10796,SPCL_HNZ,9.8475,-84.3113,163.178.101.124
10797,SRVS_HNZ,09.4212,-83.6589,163.178.101.124
10798,SSBN_HNZ,9.93473,-84.0994,163.178.101.124
10799,SSMD_HNZ,9.649,-83.972,163.178.101.124
10800,STCH_HNZ,9.90662,-84.4406,163.178.101.124
10801,STH1_HNZ,9.95043,-84.1174,163.178.101.124
10802,STH6_HNZ,9.95043,-84.1174,163.178.101.124
10803,STRN_HNZ,9.93333,-84.0768,163.178.101.124
10804,SUN1_HNZ,9.939362,-84.043737,163.178.101.124
10805,SUN2_HNZ,9.937064,-84.044500,163.178.101.124
10806,SUN3_HNZ,9.937500,-84.044500,163.178.101.124
10807,SUN4_HNZ,9.938529,-84.053479,163.178.101.124
10808,SUN5_HNZ,9.935034,-84.054428,163.178.101.124
10809,SUN6_HNZ,9.938868,-84.048265,163.178.101.124
10810,SUN7_HNZ,9.947218,-84.043308,163.178.101.124
10811,SUN8_HNZ,9.937500,-84.043962,163.178.101.124
10812,SUN9_HNZ,9.937064,-84.043962,163.178.101.124
10813,SUNL_HNZ,9.935759,-84.044651,163.178.101.124
10817,TAA2_HNZ,09.0721,-84.0721,163.178.101.124
10818,TAS4_HNZ,09.0721,-84.0721,163.178.101.124
10819,TB05_HNZ,9.94436,-84.0727,163.178.101.124
10820,TB11_HNZ,9.94436,-84.0727,163.178.101.124
10821,TBS2_HNZ,9.94436,-84.0727,163.178.101.124
10822,TC00_HNZ,9.93546,-84.0909,163.178.101.124
10823,TC07_HNZ,9.93545,-84.0909,163.178.101.124
10824,TC15_HNZ,9.93545,-84.0909,163.178.101.124
10825,TC21_HNZ,9.93546,-84.0909,163.178.101.124
10826,TC29_HNZ,9.93546,-84.0909,163.178.101.124
10827,TJ01_HNZ,9.932658,-84.076450,163.178.101.124
10828,TJ05_HNZ,9.932658,-84.076450,163.178.101.124
10829,TJ15_HNZ,9.932658,-84.076450,163.178.101.124
10830,TJS2_HNZ,9.932658,-84.076450,163.178.101.124
10831,TL02_HNZ,9.932606,-84.076232,163.178.101.124
10832,TL06_HNZ,9.932606,-84.076232,163.178.101.124
10833,TL13_HNZ,9.932606,-84.076232,163.178.101.124
10834,TLS1_HNZ,9.932606,-84.076232,163.178.101.124
10835,TS04_HNZ,9.936595,-84.073590,163.178.101.124
10836,TS08_HNZ,9.936595,-84.073590,163.178.101.124
10837,TS13_HNZ,9.936595,-84.073590,163.178.101.124
10838,TSS1_HNZ,9.936595,-84.073590,163.178.101.124
