Periodo,Aceleracion
0.01,0.33
0.02,0.33
0.03,0.33
0.0303,0.33
0.04,0.39501
0.05,0.45606
0.06,0.51315
0.07,0.56694
0.08,0.61809
0.09,0.66726
0.1,0.71412
0.11,0.75966
0.12,0.80355
0.125,0.825
0.15,0.825
0.2,0.825
0.25,0.825
0.3,0.825
0.351,0.825
0.383,0.825
0.409,0.825
0.45,0.825
0.45,0.825
0.485,0.825
0.5,0.825
0.545,0.825
0.6,0.75009
0.8,0.56265
1,0.45012
1.1,0.4092
1.2,0.37488
1.3,0.34617
1.4,0.32142
1.5,0.29997
2,0.22506
2.438,0.18447
2.5,0.17985
2.828,0.15906
3,0.15015
3.105,0.14487
3.441,0.13068
3.552,0.12672
3.573,0.12507
4,0.09999
5,0.06402
6,0.04455
7,0.03267
8,0.02508
9,0.0198
10,0.01584
