Periodo,Aceleracion
0.01,0.375
0.02,0.375
0.03,0.375
0.0303,0.375
0.04,0.448875
0.05,0.51825
0.06,0.583125
0.07,0.64425
0.08,0.702375
0.09,0.75825
0.1,0.8115
0.11,0.86325
0.12,0.913125
0.125,0.9375
0.15,0.9375
0.2,0.9375
0.25,0.9375
0.257,0.9375
0.281,0.9375
0.3,0.9375
0.3,0.9375
0.33,0.9375
0.356,0.9375
0.4,0.9375
0.45,0.83325
0.5,0.75
0.6,0.625125
0.8,0.46875
1,0.375
1.1,0.340875
1.2,0.312375
1.3,0.288375
1.4,0.26775
1.5,0.250125
1.788,0.209625
2,0.1875
2.074,0.18075
2.277,0.164625
2.5,0.15
2.523,0.1485
2.604,0.144
2.62,0.142125
3,0.108375
4,0.061125
5,0.039
6,0.027
7,0.019875
8,0.015375
9,0.012
10,0.00975
