Periodo,Aceleracion
0.01,0.36
0.02,0.36
0.03,0.36
0.0303,0.36
0.04,0.43092
0.05,0.49752
0.06,0.5598
0.07,0.61848
0.08,0.67428
0.09,0.72792
0.1,0.77904
0.11,0.82872
0.12,0.8766
0.125,0.9
0.15,0.9
0.2,0.9
0.25,0.9
0.3,0.9
0.45,0.9
0.5,0.9
0.6,0.9
0.6,0.9
0.655,0.9
0.699,0.9
0.771,0.9
0.8,0.9
0.831,0.9
0.933,0.9
1,0.83988
1.1,0.76356
1.2,0.69984
1.3,0.6462
1.4,0.60012
1.5,0.56016
2,0.42012
2.5,0.33588
3,0.28008
4,0.20988
4.171,0.20124
4.839,0.17352
5,0.16812
5.312,0.15804
5.887,0.14256
6,0.14004
6.077,0.13824
6.113,0.13644
7,0.10404
8,0.07992
9,0.063
10,0.05112
