Periodo,Aceleracion
0.010,0.4
0.020,0.4
0.030,0.4
0.0303,0.4
0.040,0.4788
0.050,0.5528
0.060,0.622
0.070,0.6872
0.080,0.7492
0.090,0.8088
0.100,0.8656
0.110,0.9208
0.120,0.974
0.125,1
0.150,1
0.200,1
0.250,1
0.300,1
0.360,1
0.393,1
0.419,1
0.450,1
0.462,1
0.498,1
0.500,1
0.560,1
0.600,0.9332
0.800,0.7
1.000,0.56
1.100,0.5092
1.200,0.4668
1.300,0.4308
1.400,0.4
1.500,0.3732
2.000,0.28
2.500,0.224
2.503,0.2236
2.903,0.1928
3.000,0.1868
3.187,0.1756
3.532,0.1584
3.646,0.1536
3.668,0.1516
4.000,0.1276
5.000,0.0816
6.000,0.0568
7.000,0.0416
8.000,0.032
9.000,0.0252
10.000,0.0204
