Periodo,Aceleracion
0.010,0.24
0.020,0.24
0.030,0.24
0.0303,0.24
0.040,0.28728
0.050,0.33168
0.060,0.3732
0.070,0.41232
0.080,0.44952
0.090,0.48528
0.100,0.51936
0.110,0.55248
0.120,0.5844
0.125,0.6
0.150,0.6
0.200,0.6
0.250,0.6
0.300,0.6
0.343,0.6
0.374,0.6
0.400,0.6
0.440,0.6
0.450,0.6
0.475,0.6
0.500,0.6
0.533,0.6
0.600,0.53328
0.800,0.40008
1.000,0.31992
1.100,0.29088
1.200,0.26664
1.300,0.24624
1.400,0.22848
1.500,0.21336
2.000,0.16008
2.384,0.13416
2.500,0.12792
2.765,0.11568
3.000,0.10656
3.036,0.10536
3.364,0.09504
3.473,0.09216
3.493,0.09096
4.000,0.06936
5.000,0.0444
6.000,0.03096
7.000,0.02256
8.000,0.01728
9.000,0.01368
10.000,0.01104
