Periodo,Aceleracion
0.01,0.36
0.02,0.36
0.03,0.36
0.0303,0.36
0.04,0.43092
0.05,0.49752
0.06,0.5598
0.07,0.61848
0.08,0.67428
0.09,0.72792
0.1,0.77904
0.11,0.82872
0.12,0.8766
0.125,0.9
0.15,0.9
0.2,0.9
0.25,0.9
0.3,0.9
0.386,0.9
0.421,0.9
0.449,0.9
0.45,0.9
0.495,0.9
0.5,0.9
0.534,0.9
0.6,0.9
0.6,0.9
0.8,0.675
1,0.54
1.1,0.49104
1.2,0.45
1.3,0.41544
1.4,0.38556
1.5,0.36
2,0.27
2.5,0.216
2.682,0.20124
3,0.18
3.111,0.17352
3.415,0.15804
3.785,0.14256
3.907,0.13824
3.93,0.13644
4,0.13176
5,0.08424
6,0.05868
7,0.0432
8,0.03312
9,0.02592
10,0.02124
