Periodo,Aceleracion
0.010,0.2
0.020,0.2
0.030,0.2
0.0303,0.2
0.040,0.2394
0.050,0.2764
0.060,0.311
0.070,0.3436
0.080,0.3746
0.090,0.4044
0.100,0.4328
0.110,0.4604
0.120,0.487
0.125,0.5
0.150,0.5
0.200,0.5
0.250,0.5
0.257,0.5
0.281,0.5
0.300,0.5
0.300,0.5
0.330,0.5
0.356,0.5
0.400,0.5
0.450,0.4444
0.500,0.4
0.600,0.3334
0.800,0.25
1.000,0.2
1.100,0.1818
1.200,0.1666
1.300,0.1538
1.400,0.1428
1.500,0.1334
1.788,0.1118
2.000,0.1
2.074,0.0964
2.277,0.0878
2.500,0.08
2.523,0.0792
2.604,0.0768
2.620,0.0758
3.000,0.0578
4.000,0.0326
5.000,0.0208
6.000,0.0144
7.000,0.0106
8.000,0.0082
9.000,0.0064
10.000,0.0052
