Periodo,Aceleracion
0.010,0.36
0.020,0.36
0.030,0.36
0.0303,0.36
0.040,0.43092
0.050,0.49752
0.060,0.5598
0.070,0.61848
0.080,0.67428
0.090,0.72792
0.100,0.77904
0.110,0.82872
0.120,0.8766
0.125,0.9
0.150,0.9
0.200,0.9
0.250,0.9
0.300,0.9
0.450,0.9
0.500,0.9
0.600,0.9
0.686,0.9
0.749,0.9
0.799,0.9
0.800,0.9
0.881,0.9
0.949,0.9
1.000,0.9
1.067,0.9
1.100,0.87264
1.200,0.79992
1.300,0.73836
1.400,0.6858
1.500,0.64008
2.000,0.47988
2.500,0.38412
3.000,0.32004
4.000,0.24012
4.767,0.20124
5.000,0.19188
5.530,0.17352
6.000,0.15984
6.071,0.15804
6.728,0.14256
6.945,0.13824
6.987,0.13644
7.000,0.13608
8.000,0.10404
9.000,0.08244
10.000,0.0666
