Periodo,Aceleracion
0.010,0.44
0.020,0.44
0.030,0.44
0.0303,0.44
0.040,0.52668
0.050,0.60808
0.060,0.6842
0.070,0.75592
0.080,0.82412
0.090,0.88968
0.100,0.95216
0.110,1.01288
0.120,1.0714
0.125,1.1
0.150,1.1
0.200,1.1
0.250,1.1
0.300,1.1
0.374,1.1
0.408,1.1
0.436,1.1
0.450,1.1
0.480,1.1
0.500,1.1
0.518,1.1
0.582,1.1
0.600,1.06656
0.800,0.79992
1.000,0.6402
1.100,0.58168
1.200,0.53328
1.300,0.49236
1.400,0.45716
1.500,0.4268
2.000,0.31988
2.500,0.25608
2.600,0.24596
3.000,0.2134
3.017,0.21208
3.312,0.19316
3.670,0.17424
3.788,0.16896
3.811,0.16676
4.000,0.15136
5.000,0.0968
6.000,0.06732
7.000,0.04928
8.000,0.03784
9.000,0.02992
10.000,0.0242
