Periodo,Aceleracion
0.010,0.34
0.020,0.34
0.030,0.34
0.0303,0.34
0.040,0.40698
0.050,0.46988
0.060,0.5287
0.070,0.58412
0.080,0.63682
0.090,0.68748
0.100,0.73576
0.110,0.78268
0.120,0.8279
0.125,0.85
0.150,0.85
0.200,0.85
0.250,0.85
0.300,0.85
0.450,0.85
0.484,0.85
0.500,0.85
0.529,0.85
0.564,0.85
0.600,0.85
0.622,0.85
0.670,0.85
0.753,0.85
0.800,0.80002
1.000,0.63988
1.100,0.58174
1.200,0.53346
1.300,0.49232
1.400,0.4573
1.500,0.4267
2.000,0.31994
2.500,0.25602
3.000,0.21318
3.365,0.19006
3.904,0.16388
4.000,0.16014
4.286,0.14926
4.749,0.13464
4.903,0.13056
4.932,0.12886
5.000,0.12546
6.000,0.08704
7.000,0.06392
8.000,0.04896
9.000,0.03876
10.000,0.03128
