Periodo,Aceleracion
0.010,0.28
0.020,0.28
0.030,0.28
0.0303,0.28
0.040,0.33516
0.050,0.38696
0.060,0.4354
0.070,0.48104
0.080,0.52444
0.090,0.56616
0.100,0.60592
0.110,0.64456
0.120,0.6818
0.125,0.7
0.150,0.7
0.200,0.7
0.250,0.7
0.300,0.7
0.367,0.7
0.401,0.7
0.428,0.7
0.450,0.7
0.472,0.7
0.500,0.7
0.509,0.7
0.571,0.7
0.600,0.66668
0.800,0.50008
1.000,0.40012
1.100,0.36372
1.200,0.3332
1.300,0.30772
1.400,0.2856
1.500,0.26656
2.000,0.19992
2.500,0.15988
2.554,0.15652
2.963,0.13496
3.000,0.13328
3.252,0.12292
3.604,0.11088
3.721,0.10752
3.743,0.10612
4.000,0.09296
5.000,0.05964
6.000,0.04144
7.000,0.03024
8.000,0.02324
9.000,0.01848
10.000,0.01484
